_b_tipo_prop,_c_tipo_oper,_d_prov_data,_e_partido_data,_f_localidad_data,_g_barrio_data,_h_dormi,_i_currency,_j_prop_price,_k_sup_prop,_l_old_prop,_m_dispo_prop,_n_bath_amount,_o_link_prop,_z_title
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,1,USD,83700,41 m²,A Estrenar,Lateral,2,https://www.argenprop.com/departamento-en-venta-en-olivos-2-ambientes--7357826,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,1,USD,212000,63 m²,10 años,Contrafrente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-2-ambientes--7199855,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Maipu/Uzal,1,USD,135000,45 m²,45 años,Contrafrente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-maipu-uzal-2-ambientes--7109278,"Departamento en Venta en Olivos Maipu/Uzal, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,,USD,89000,30 m²,1,,,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-1-ambiente--7267159,"Departamento en Venta en Olivos Vias/Maipu, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,2,USD,228000,59 m²,10 años,Lateral,2,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-3-ambientes--7118888,"Departamento en Venta en Olivos Vias/Maipu, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,3,USD,420000,108 m²,10 años,Frente,3,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-4-ambientes--7042744,"Departamento en Venta en Olivos Vias/Maipu, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,3,USD,487000,105 m²,12 años,Frente,2,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-4-ambientes--6616332,"Departamento en Venta en Olivos Vias/Maipu, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,1,USD,250000,44 m²,A Estrenar,1,,https://www.argenprop.com/departamento-en-venta-en-olivos-2-ambientes--5509331,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,3,USD,545000,95 m²,A Estrenar,Frente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-4-ambientes--5555838,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,2,USD,252000,70 m²,20 años,Frente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-3-ambientes--5478440,"Departamento en Venta en Olivos, Vicente Lopez"
