_b_tipo_prop,_c_tipo_oper,_d_prov_data,_e_partido_data,_f_localidad_data,_g_barrio_data,_h_dormi,_i_currency,_j_prop_price,_k_sup_prop,_l_old_prop,_m_dispo_prop,_n_bath_amount,_o_link_prop,_z_title
Terreno,Venta,Buenos Aires,Tigre,Nordelta,Nordelta Virazón,,USD,380000,,,,,https://www.argenprop.com/terreno-en-venta-en-nordelta-virazon--5805957,"Terreno en Venta en Nordelta Virazón, Nordelta"
Casa,Venta,Buenos Aires,Tigre,Nordelta,Nordelta Los Alisos,3,USD,450000,235 m²,5 años,4,Con dependencia,https://www.argenprop.com/casa-en-venta-en-nordelta-los-alisos-4-ambientes--6495723,"Casa en Venta en Nordelta Los Alisos, Nordelta"
Departamento,Venta,Buenos Aires,Tigre,Nordelta,Nordelta Lago Escondido,2,USD,180000,80 m²,2 años,Frente,1,https://www.argenprop.com/departamento-en-venta-en-nordelta-lago-escondido-3-ambientes--6369814,"Departamento en Venta en Nordelta Lago Escondido, Nordelta"
Oficina,Alquiler,Buenos Aires,Tigre,Nordelta,Nordelta Puerta Norte,,$,55900,88 m²,Excelente,Con seguridad,,https://www.argenprop.com/oficina-en-alquiler-en-nordelta-puerta-norte--7870062,"Oficina en Alquiler en Nordelta Puerta Norte, Nordelta"
Oficina,Alquiler,Buenos Aires,Tigre,Nordelta,Nordelta El Portal,,$,10000,Excelente,,,,https://www.argenprop.com/oficina-en-alquiler-en-nordelta-el-portal--7890550,"Oficina en Alquiler en Nordelta El Portal, Nordelta"
Casa,Venta,Buenos Aires,Tigre,Nordelta,Nordelta Castaños,3,USD,455000,209 m²,A Estrenar,3,,https://www.argenprop.com/casa-en-venta-en-nordelta-castanos-4-ambientes--7274288,"Casa en Venta en Nordelta Castaños, Nordelta"
Departamento,Venta,Buenos Aires,Tigre,Nordelta,Nordelta Chateau Del Palmar,2,USD,169000,84 m²,2,,,https://www.argenprop.com/departamento-en-venta-en-nordelta-chateau-del-palmar-2-ambientes--6153617,"Departamento en Venta en Nordelta Chateau Del Palmar, Nordelta"
Departamento,Venta,Buenos Aires,Tigre,Nordelta,,2,USD,186198,88 m²,3,,,https://www.argenprop.com/departamento-en-venta-en-nordelta-3-ambientes--7803928,"Departamento en Venta en Nordelta, Tigre"
Terreno,Venta,Buenos Aires,Tigre,Nordelta,,,USD,152500,20 m,,,,https://www.argenprop.com/terreno-en-venta-en-nordelta--5024580,"Terreno en Venta en Nordelta, Tigre"
Local,Alquiler,Buenos Aires,Tigre,Nordelta,Otros barrios de Nordelta,,$,150000,2,,,,https://www.argenprop.com/local-en-alquiler-en-otros-barrios-de-nordelta--7832625,"Local en Alquiler en Otros barrios de Nordelta, Nordelta"
Departamento,Venta,Buenos Aires,Tigre,Nordelta,Nordelta El Palmar,2,USD,235000,75 m²,3 años,2,,https://www.argenprop.com/departamento-en-venta-en-nordelta-el-palmar-3-ambientes--5345077,"Departamento en Venta en Nordelta El Palmar, Nordelta"
Departamento,Venta,Buenos Aires,Tigre,Nordelta,,1,USD,169000,63 m²,A Estrenar,Frente,2,https://www.argenprop.com/departamento-en-venta-en-nordelta-2-ambientes--6009219,"Departamento en Venta en Nordelta, Tigre"
Departamento,Venta,Buenos Aires,Tigre,Nordelta,Nordelta Chateau Del Palmar,3,USD,275000,98 m²,7 años,Lateral,2,https://www.argenprop.com/departamento-en-venta-en-nordelta-chateau-del-palmar-4-ambientes--6757889,"Departamento en Venta en Nordelta Chateau Del Palmar, Nordelta"
Casa,Venta,Buenos Aires,Tigre,Nordelta,Nordelta Las Tipas,3,USD,395000,170 m²,A Estrenar,4,Con dependencia,https://www.argenprop.com/casa-en-venta-en-nordelta-las-tipas-4-ambientes--6228585,"Casa en Venta en Nordelta Las Tipas, Nordelta"
Departamento,Venta,Buenos Aires,Tigre,Nordelta,Nordelta Bahía Grande,1,USD,155000,1,Frente,1,,https://www.argenprop.com/departamento-en-venta-en-nordelta-bahia-grande-2-ambientes--5353068,"Departamento en Venta en Nordelta Bahía Grande, Nordelta"
Casa,Alquiler,Buenos Aires,Tigre,Nordelta,Nordelta Los Alisos,4,USD,2000,290 m²,A Estrenar,4,Con dependencia,https://www.argenprop.com/casa-en-alquiler-en-nordelta-los-alisos-5-ambientes--7335038,"Casa en Alquiler en Nordelta Los Alisos, Nordelta"
Oficina,Venta,Buenos Aires,Tigre,Nordelta,Nordelta El Portal,,USD,145000,92 m²,,,,https://www.argenprop.com/oficina-en-venta-en-nordelta-el-portal--7891925,"Oficina en Venta en Nordelta El Portal, Nordelta"
Local,Venta,Buenos Aires,Tigre,Nordelta,,,USD,137700,55 m2,,,,https://www.argenprop.com/local-en-venta-en-nordelta--7826903,"Local en Venta en Nordelta, Tigre"
Departamento,Venta,Buenos Aires,Tigre,Nordelta,Nordelta Yoo Nordelta,2,USD,240000,72 m²,2,,,https://www.argenprop.com/departamento-en-venta-en-nordelta-yoo-nordelta-3-ambientes--7340280,"Departamento en Venta en Nordelta Yoo Nordelta, Nordelta"
Casa,Venta,Buenos Aires,Tigre,Nordelta,Nordelta Los Alisos,3,USD,470000,228 m²,A Estrenar,4,,https://www.argenprop.com/casa-en-venta-en-nordelta-los-alisos-4-ambientes--6743613,"Casa en Venta en Nordelta Los Alisos, Nordelta"
Oficina,Alquiler,Buenos Aires,Tigre,Nordelta,Nordelta Puerta Norte,,$,27900,44 m²,Bueno,Con seguridad,,https://www.argenprop.com/oficina-en-alquiler-en-nordelta-puerta-norte--7125221,"Oficina en Alquiler en Nordelta Puerta Norte, Nordelta"
Casa,Alquiler,Buenos Aires,Tigre,Nordelta,Nordelta Los Cabos del Lago,4,USD,3000,500 m²,3 años,6,,https://www.argenprop.com/casa-en-alquiler-en-nordelta-los-cabos-del-lago-8-ambientes--7830889,"Casa en Alquiler en Nordelta Los Cabos del Lago, Nordelta"
Departamento,Alquiler,Buenos Aires,Tigre,Nordelta,Nordelta Wyndham Loft,1,$,50000,58 m²,Apto Profesional,Frente,1,https://www.argenprop.com/departamento-en-alquiler-en-nordelta-wyndham-loft-2-ambientes--7326915,"Departamento en Alquiler en Nordelta Wyndham Loft, Nordelta"
